term,polarity,language
あがく,negative,ja
あきらめる,negative,ja
あきる,negative,ja
あきれる,negative,ja
あきれるた,negative,ja
あせる,negative,ja
あなどる,negative,ja
あやしむ,negative,ja
あやぶむ,negative,ja
あやまる,negative,ja
あらそう,negative,ja
あわてる,negative,ja
いたたまれない,negative,ja
いたむ,negative,ja
いつわる,negative,ja
いらだたしい,negative,ja
いら立つ,negative,ja
うつうつ,negative,ja
うなだれる,negative,ja
うなる,negative,ja
うらむ,negative,ja
うんざり,negative,ja
おちいる,negative,ja
おぼれる,negative,ja
かさばる,negative,ja
かなうない,negative,ja
かなしむ,negative,ja
がたつく,negative,ja
がっくり,negative,ja
くさる,negative,ja
くずれる,negative,ja
くたびれる,negative,ja
くやむ,negative,ja
くるしむ,negative,ja
けだるい,negative,ja
こじらせる,negative,ja
こそばゆい,negative,ja
こたえるられるない,negative,ja
こぼす,negative,ja
こまる,negative,ja
こりる,negative,ja
こわされる,negative,ja
さじを投げる,negative,ja
しかられる,negative,ja
しくじる,negative,ja
しょぼくれるた,negative,ja
しょんぼり,negative,ja
しんみり,negative,ja
すぎる,negative,ja
過ぎる,negative,ja
せんない,negative,ja
たおれる,negative,ja
ためらう,negative,ja
だますれる,negative,ja
だます,negative,ja
だれる,negative,ja
ちがう,negative,ja
つぶす,negative,ja
つぶれる,negative,ja
つまずく,negative,ja
つらい,negative,ja
とがめる,negative,ja
なやむ,negative,ja
ねじれる,negative,ja
のぼせる,negative,ja
はげる,negative,ja
はずかしい,negative,ja
ばつが悪い,negative,ja
ひきつる,negative,ja
ひっかかる,negative,ja
ひもじい,negative,ja
びびる,negative,ja
ふらつく,negative,ja
ぶつかる,negative,ja
ぶれる,negative,ja
ぼける,negative,ja
ぼけるた,negative,ja
まごつく,negative,ja
むかっと,negative,ja
むかつく,negative,ja
むせる,negative,ja
むせ返る,negative,ja
めくられる,negative,ja
もたつく,negative,ja
もだえる,negative,ja
もつれる,negative,ja
もてあます,negative,ja
やつれる,negative,ja
やむない,negative,ja
やむをえない,negative,ja
ゆがむ,negative,ja
ゆきづまる,negative,ja
よごす,negative,ja
よごれる,negative,ja
わすれる,negative,ja
ガックリ,negative,ja
ストレスがある,negative,ja
ツライ,negative,ja
ビビる,negative,ja
ポシャる,negative,ja
阿鼻叫喚,negative,ja
意気消沈,negative,ja
引っ掛かる,negative,ja
引っ繰り返る,negative,ja
厭う,negative,ja
怨む,negative,ja
汚される,negative,ja
汚す,negative,ja
汚れる,negative,ja
臆する,negative,ja
臆病風に吹かれる,negative,ja
苛だつ,negative,ja
苛つく,negative,ja
苛苛する,negative,ja
苛立つ,negative,ja
我慢しきれない,negative,ja
我慢する,negative,ja
我慢ならない,negative,ja
餓える,negative,ja
壊される,negative,ja
壊れる,negative,ja
怪しむ,negative,ja
悔しい,negative,ja
悔やむ,negative,ja
恰好がつかない,negative,ja
渇く,negative,ja
堪えがたい,negative,ja
堪える,negative,ja
堪え難い,negative,ja
堪忍袋の緒が切れる,negative,ja
干からびる,negative,ja
患い,negative,ja
患う,negative,ja
憾む,negative,ja
間違う,negative,ja
陥る,negative,ja
危ぶむ,negative,ja
忌みきらう,negative,ja
忌み嫌う,negative,ja
機嫌を損じる,negative,ja
機嫌を損ねる,negative,ja
気が緩む,negative,ja
気が気でない,negative,ja
気が滅入る,negative,ja
気に掛かる,negative,ja
気に障る,negative,ja
気に食わない,negative,ja
気をもむ,negative,ja
気を悪くする,negative,ja
気懸かる,negative,ja
気恥ずかしい,negative,ja
気がかり,negative,ja
気まずい,negative,ja
気持ちが悪い,negative,ja
